city,timestamp,temperature,season
New York,2010-01-01,-8.914322100951235,winter
New York,2010-01-02,1.127134142882673,winter
New York,2010-01-03,3.3515141055119506,winter
New York,2010-01-04,-4.703103707573236,winter
New York,2010-01-05,0.7812068775547438,winter
New York,2010-01-06,2.6945019930321825,winter
New York,2010-01-07,0.1676232282285416,winter
New York,2010-01-08,3.10152337161405,winter
New York,2010-01-09,-3.251502416072638,winter
New York,2010-01-10,2.752748662434323,winter
New York,2010-01-11,-6.863628953644048,winter
New York,2010-01-12,5.811509652958101,winter
New York,2010-01-13,4.802981485158862,winter
New York,2010-01-14,0.9740611926748165,winter
New York,2010-01-15,5.645965575961773,winter
New York,2010-01-16,-1.628125160284208,winter
New York,2010-01-17,-3.532748618885658,winter
New York,2010-01-18,-5.595748414222306,winter
New York,2010-01-19,7.291603338451259,winter
New York,2010-01-20,10.861417705642054,winter
New York,2010-01-21,7.126648455247335,winter
New York,2010-01-22,-1.6364010162798956,winter
New York,2010-01-23,-5.026112342751522,winter
New York,2010-01-24,-0.09953664150678283,winter
New York,2010-01-25,-2.6488863623793173,winter
New York,2010-01-26,7.487559175194235,winter
New York,2010-01-27,0.32304343338014957,winter
New York,2010-01-28,-6.089416483003866,winter
New York,2010-01-29,-2.5158416563397163,winter
New York,2010-01-30,0.29690485154308,winter
New York,2010-01-31,5.118842573417411,winter
New York,2010-02-01,-8.378092321180313,winter
New York,2010-02-02,2.3219542855624775,winter
New York,2010-02-03,2.459967508280017,winter
New York,2010-02-04,9.159303495297706,winter
New York,2010-02-05,-0.26467886702272364,winter
New York,2010-02-06,4.579805890513798,winter
New York,2010-02-07,-1.1441971288726362,winter
New York,2010-02-08,8.809927106452381,winter
New York,2010-02-09,-8.832881113547097,winter
New York,2010-02-10,-2.432866115407433,winter
New York,2010-02-11,0.3704744362603232,winter
New York,2010-02-12,0.42447830316078133,winter
New York,2010-02-13,5.189987219010437,winter
New York,2010-02-14,-0.2117664867672473,winter
New York,2010-02-15,6.636529503923736,winter
New York,2010-02-16,4.72520807814238,winter
New York,2010-02-17,-0.7629809777082232,winter
New York,2010-02-18,1.1621654043782372,winter
New York,2010-02-19,9.420475284336655,winter
New York,2010-02-20,6.933152431767997,winter
New York,2010-02-21,3.6924917924843843,winter
New York,2010-02-22,-0.15262567512051933,winter
New York,2010-02-23,7.819960401294919,winter
New York,2010-02-24,-5.971352211934996,winter
New York,2010-02-25,-1.1302648618671702,winter
New York,2010-02-26,2.8608138616543286,winter
New York,2010-02-27,-1.176483091322682,winter
New York,2010-02-28,5.367481281368911,winter
New York,2010-03-01,17.895658194926266,spring
New York,2010-03-02,6.578215743986617,spring
New York,2010-03-03,11.334311583412386,spring
New York,2010-03-04,13.633529337165657,spring
New York,2010-03-05,10.692341455808615,spring
New York,2010-03-06,16.533517355238025,spring
New York,2010-03-07,13.503557877939842,spring
New York,2010-03-08,13.779651874269355,spring
New York,2010-03-09,10.877853056561301,spring
New York,2010-03-10,14.738816969010728,spring
New York,2010-03-11,6.467146007322853,spring
New York,2010-03-12,4.526762960722122,spring
New York,2010-03-13,7.40131225889636,spring
New York,2010-03-14,11.498039365323214,spring
